event,trigger_type,readout_type,global_timestamp
10627,Physics,None,1533761914
10628,Physics,None,1533761914
10629,Physics,None,1533761914
10630,Physics,None,1533761914
10631,Physics,None,1533761914
10632,Physics,None,1533761914
10633,Physics,None,1533761914
10634,Physics,None,1533761914
10635,Physics,None,1533761914
10636,Physics,None,1533761914
10637,Physics,None,1533761914
10638,Physics,None,1533761914
10639,Physics,None,1533761914
10640,Physics,None,1533761915
10641,Physics,None,1533761915
10642,Physics,None,1533761915
10643,Physics,None,1533761915
10644,Physics,None,1533761915
10645,Physics,None,1533761915
10646,Physics,None,1533761915
10647,Physics,None,1533761915
10648,Physics,None,1533761915
10649,Physics,None,1533761915
10650,Physics,None,1533761915
10651,Physics,None,1533761915
10652,Physics,None,1533761915
10653,Physics,None,1533761915
10654,Physics,None,1533761915
10655,Physics,None,1533761915
10656,Physics,None,1533761915
10657,Physics,None,1533761915
10658,Physics,None,1533761915
10659,Physics,None,1533761915
10660,Physics,None,1533761916
10661,Physics,None,1533761916
10662,Physics,None,1533761916
10663,Physics,None,1533761916
10664,Physics,None,1533761916
10665,Physics,None,1533761916
10666,Physics,None,1533761916
10667,Physics,None,1533761916
10668,Physics,None,1533761916
10669,Physics,None,1533761916
10670,Physics,None,1533761916
10671,Physics,None,1533761916
10672,Physics,None,1533761916
10673,Physics,None,1533761916
10674,Physics,None,1533761916
10675,Physics,None,1533761916
10676,Physics,None,1533761916
10677,Physics,None,1533761916
10678,Physics,None,1533761916
10679,Physics,None,1533761916
10680,Physics,None,1533761917
10681,Physics,None,1533761917
10682,Physics,None,1533761917
10683,Physics,None,1533761917
10684,Physics,None,1533761917
10685,Physics,None,1533761917
10686,Physics,None,1533761917
10687,Physics,None,1533761917
10688,Physics,None,1533761917
10689,Physics,None,1533761917
10690,Physics,None,1533761917
10691,Physics,None,1533761917
10692,Physics,None,1533761917
10693,Physics,None,1533761917
10694,Physics,None,1533761917
10695,Physics,None,1533761917
10696,Physics,None,1533761917
10697,Physics,None,1533761917
10698,Physics,None,1533761917
10699,Physics,None,1533761917
10700,Physics,None,1533761918
10701,Physics,None,1533761918
10702,Physics,None,1533761918
10703,Physics,None,1533761918
10704,Physics,None,1533761918
10705,Physics,None,1533761918
10706,Physics,None,1533761918
10707,Physics,None,1533761918
10708,Physics,None,1533761918
10709,Physics,None,1533761918
10710,Physics,None,1533761918
10711,Physics,None,1533761918
10712,Physics,None,1533761918
10713,Physics,None,1533761918
10714,Physics,None,1533761918
10715,Physics,None,1533761918
10716,Physics,None,1533761918
10717,Physics,None,1533761918
10718,Physics,None,1533761918
10719,Physics,None,1533761918
10720,Physics,None,1533761919
10721,Physics,None,1533761919
10722,Physics,None,1533761919
10723,Physics,None,1533761919
10724,Physics,None,1533761919
10725,Physics,None,1533761919
10726,Physics,None,1533761919
10727,Physics,None,1533761919
10728,Physics,None,1533761919
10729,Physics,None,1533761919
10730,Physics,None,1533761919
10731,Physics,None,1533761919
10732,Physics,None,1533761919
10733,Physics,None,1533761919
10734,Physics,None,1533761919
10735,Physics,None,1533761919
10736,Physics,None,1533761919
10737,Physics,None,1533761919
10738,Physics,None,1533761919
10739,Physics,None,1533761919
10740,Physics,None,1533761920
10741,Physics,None,1533761920
10742,Physics,None,1533761920
10743,Physics,None,1533761920
10744,Physics,None,1533761920
10745,Physics,None,1533761920
10746,Physics,None,1533761920
10747,Physics,None,1533761920
10748,Physics,None,1533761920
10749,Physics,None,1533761920
10750,Physics,None,1533761920
10751,Physics,None,1533761920
10752,Physics,None,1533761920
10753,Physics,None,1533761920
10754,Physics,None,1533761920
10755,Physics,None,1533761920
10756,Physics,None,1533761920
10757,Physics,None,1533761920
10758,Physics,None,1533761920
10759,Physics,None,1533761920
10760,Physics,None,1533761921
10761,Physics,None,1533761921
10762,Physics,None,1533761921
10763,Physics,None,1533761921
10764,Physics,None,1533761921
10765,Physics,None,1533761921
10766,Physics,None,1533761921
10767,Physics,None,1533761921
10768,Physics,None,1533761921
10769,Physics,None,1533761921
10770,Physics,None,1533761921
10771,Physics,None,1533761921
10772,Physics,None,1533761921
10773,Physics,None,1533761921
10774,Physics,None,1533761921
10775,Physics,None,1533761921
10776,Physics,None,1533761921
10777,Physics,None,1533761921
10778,Physics,None,1533761921
10779,Physics,None,1533761921
10780,Physics,None,1533761922
10781,Physics,None,1533761922
10782,Physics,None,1533761922
10783,Physics,None,1533761922
10784,Physics,None,1533761922
10785,Physics,None,1533761922
10786,Physics,None,1533761922
10787,Physics,None,1533761922
10788,Physics,None,1533761922
10789,Physics,None,1533761922
10790,Physics,None,1533761922
10791,Physics,None,1533761922
10792,Physics,None,1533761922
10793,Physics,None,1533761922
10794,Physics,None,1533761922
10795,Physics,None,1533761922
10796,Physics,None,1533761922
10797,Physics,None,1533761922
10798,Physics,None,1533761922
10799,Physics,None,1533761922
10800,Physics,None,1533761923
10801,Physics,None,1533761923
10802,Physics,None,1533761923
10803,Physics,None,1533761923
10804,Physics,None,1533761923
10805,Physics,None,1533761923
10806,Physics,None,1533761923
10807,Physics,None,1533761923
10808,Physics,None,1533761923
10809,Physics,None,1533761923
10810,Physics,None,1533761923
10811,Physics,None,1533761923
10812,Physics,None,1533761923
10813,Physics,None,1533761923
10814,Physics,None,1533761923
10815,Physics,None,1533761923
10816,Physics,None,1533761923
10817,Physics,None,1533761923
10818,Physics,None,1533761923
10819,Physics,None,1533761923
10820,Physics,None,1533761924
10821,Physics,None,1533761924
10822,Physics,None,1533761924
10823,Physics,None,1533761924
10824,Physics,None,1533761924
10825,Physics,None,1533761924
10826,Physics,None,1533761924
10827,Physics,None,1533761924
10828,Physics,None,1533761924
10829,Physics,None,1533761924
10830,Physics,None,1533761924
10831,Physics,None,1533761924
10832,Physics,None,1533761924
10833,Physics,None,1533761924
10834,Physics,None,1533761924
10835,Physics,None,1533761924
10836,Physics,None,1533761924
10837,Physics,None,1533761924
10838,Physics,None,1533761924
10839,Physics,None,1533761924
10840,Physics,None,1533761925
10841,Physics,None,1533761925
10842,Physics,None,1533761925
10843,Physics,None,1533761925
10844,Physics,None,1533761925
10845,Physics,None,1533761925
10846,Physics,None,1533761925
10847,Physics,None,1533761925
10848,Physics,None,1533761925
10849,Physics,None,1533761925
10850,Physics,None,1533761925
10851,Physics,None,1533761925
10852,Physics,None,1533761925
10853,Physics,None,1533761925
10854,Physics,None,1533761925
10855,Physics,None,1533761925
10856,Physics,None,1533761925
10857,Physics,None,1533761925
10858,Physics,None,1533761925
10859,Physics,None,1533761925
10860,Physics,None,1533761926
10861,Physics,None,1533761926
10862,Physics,None,1533761926
10863,Physics,None,1533761926
10864,Physics,None,1533761926
10865,Physics,None,1533761926
10866,Physics,None,1533761926
10867,Physics,None,1533761926
10868,Physics,None,1533761926
10869,Physics,None,1533761926
10870,Physics,None,1533761926
10871,Physics,None,1533761926
10872,Physics,None,1533761926
10873,Physics,None,1533761926
10874,Physics,None,1533761926
10875,Physics,None,1533761926
10876,Physics,None,1533761926
10877,Physics,None,1533761926
10878,Physics,None,1533761926
10879,Physics,None,1533761926
10880,Physics,None,1533761927
10881,Physics,None,1533761927
10882,Physics,None,1533761927
